                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.70769,                0.60768,                0.91414,                 0.8888,                0.29167,                 0.5216,                0.22495,                 1.9961,                 4.5754,                 1.7534,             0.00077307,             0.00077307,             0.00077307
                     67,                0.71482,                0.60838,                0.94879,                0.89037,                0.24364,                0.45678,                0.22003,                 1.9631,                 4.6926,                 1.6992,             0.00075932,             0.00075932,             0.00075932
                     68,                0.67791,                0.57565,                 0.9265,                0.77567,                0.20982,                0.34382,                0.20657,                 1.9908,                 5.3392,                 1.6965,             0.00074557,             0.00074557,             0.00074557
                     69,                0.67451,                0.61614,                0.92612,                0.94364,                0.18507,                0.34778,                0.18569,                 2.1017,                 5.6554,                 1.8427,             0.00073181,             0.00073181,             0.00073181
                     70,                0.63155,                0.56394,                0.92324,                      1,                 0.1748,                0.34342,                0.17471,                 2.0373,                 4.7437,                 1.8023,             0.00071806,             0.00071806,             0.00071806
                     71,                 0.6695,                0.58879,                0.92146,                      1,                0.14455,                0.27866,                0.16009,                 1.9466,                 4.5466,                 1.7378,             0.00070431,             0.00070431,             0.00070431
                     72,                0.65574,                0.60878,                0.91559,                0.93988,                0.19246,                0.27616,                0.14176,                 2.1049,                 4.2085,                 1.8875,             0.00069055,             0.00069055,             0.00069055
                     73,                0.64506,                0.54378,                0.90415,                0.22822,                0.32984,                0.33301,                0.15615,                 2.0924,                 4.1526,                 1.8604,              0.0006768,              0.0006768,              0.0006768
                     74,                0.65586,                0.57554,                 0.9191,                0.83833,                0.30295,                0.35656,                0.17269,                 1.9882,                 3.9682,                 1.7525,             0.00066305,             0.00066305,             0.00066305
                     75,                0.67012,                0.58349,                0.90931,                0.99338,                0.18415,                0.40427,                0.17584,                  2.072,                 3.7884,                 1.8055,              0.0006493,              0.0006493,              0.0006493
                     76,                0.65621,                0.55221,                0.90411,                0.99014,                0.18386,                0.36764,                0.16648,                 2.0663,                 3.7751,                 1.8558,             0.00063554,             0.00063554,             0.00063554
                     77,                0.61646,                0.55912,                0.90549,                  0.076,                0.44228,                0.33646,                0.16054,                 2.0523,                 3.8739,                 1.8688,             0.00062179,             0.00062179,             0.00062179
                     78,                0.59355,                0.53197,                0.89236,                0.10405,                0.37474,                0.33368,                0.16417,                 1.9859,                 3.9791,                 1.8045,             0.00060804,             0.00060804,             0.00060804
                     79,                0.57323,                 0.5087,                0.88227,                0.09428,                0.34333,                 0.3076,                0.15684,                   2.05,                 3.9623,                 1.8473,             0.00059429,             0.00059429,             0.00059429
                     80,                0.62262,                0.53927,                0.91987,                0.11158,                0.28649,                0.28657,                 0.1597,                 2.0526,                 3.9833,                 1.8684,             0.00058053,             0.00058053,             0.00058053
                     81,                0.61417,                0.51378,                 0.9067,                0.16596,                0.24895,                0.27934,                0.17423,                 1.9886,                 4.0823,                 1.8473,             0.00056678,             0.00056678,             0.00056678
                     82,                0.58707,                0.51476,                0.90529,                0.15265,                0.18982,                0.23673,                0.12879,                 2.0167,                 4.3037,                 1.8376,             0.00055303,             0.00055303,             0.00055303
                     83,                0.60883,                0.50625,                0.89783,                0.08507,                0.19018,                0.20134,                0.10388,                 2.0318,                 4.3624,                 1.8546,             0.00053927,             0.00053927,             0.00053927
                     84,                0.61971,                0.54709,                0.91287,                0.07039,                0.23789,                0.19623,                0.11163,                 2.0304,                 4.3179,                  1.856,             0.00052552,             0.00052552,             0.00052552
                     85,                  0.589,                0.49681,                0.88752,                0.05723,                0.25456,                0.19861,                0.11438,                 2.0268,                 4.2068,                 1.8657,             0.00051177,             0.00051177,             0.00051177
                     86,                0.57006,                0.50558,                0.89909,                0.06997,                 0.2386,                0.19975,                0.10892,                 2.0305,                 4.2313,                 1.9187,             0.00049802,             0.00049802,             0.00049802
                     87,                0.55331,                0.47699,                0.89051,                0.06076,                0.20491,                0.18761,                  0.096,                 2.0195,                 4.2937,                 1.9536,             0.00048426,             0.00048426,             0.00048426
                     88,                0.55192,                0.50118,                0.88043,                0.05658,                 0.1893,                0.18592,                0.09302,                 2.0487,                 4.2863,                 1.9901,             0.00047051,             0.00047051,             0.00047051
                     89,                0.60532,                0.56518,                0.90015,                0.05736,                0.19368,                0.18673,                0.09868,                 2.0444,                 4.2868,                 2.0112,             0.00045676,             0.00045676,             0.00045676
                     90,                0.60352,                0.52295,                0.91963,                0.08383,                0.20421,                  0.189,                0.10999,                 2.0686,                 4.2322,                 2.0559,             0.00044301,             0.00044301,             0.00044301
                     91,                0.57196,                0.51786,                0.88796,                 0.0909,                0.22526,                0.20478,                0.11686,                 2.0627,                 4.1312,                 2.0204,             0.00042925,             0.00042925,             0.00042925
                     92,                0.54694,                0.45705,                0.89116,                0.16292,                0.23754,                0.24291,                0.13803,                 2.0102,                   4.07,                 1.9425,              0.0004155,              0.0004155,              0.0004155
                     93,                0.55989,                0.52383,                0.89875,                0.16866,                0.24228,                0.24709,                0.13868,                 2.0068,                 4.1293,                 1.9166,             0.00040175,             0.00040175,             0.00040175
                     94,                  0.531,                0.47177,                0.88173,                 0.1945,                0.28684,                0.26403,                0.14224,                 2.0692,                 4.1536,                 1.9336,             0.00038799,             0.00038799,             0.00038799
                     95,                0.54592,                0.47242,                 0.8688,                0.20149,                0.30895,                0.27077,                0.15187,                   2.07,                 4.1599,                 1.9407,             0.00037424,             0.00037424,             0.00037424
                     96,                0.56183,                0.49075,                 0.8924,                0.12524,                0.32456,                0.26415,                 0.1459,                 2.0901,                 4.0897,                 1.9319,             0.00036049,             0.00036049,             0.00036049
                     97,                0.51103,                0.46487,                0.87976,                0.09202,                0.33298,                0.26401,                0.13453,                 2.1023,                 4.0593,                 1.9216,             0.00034674,             0.00034674,             0.00034674
                     98,                0.53816,                 0.4871,                0.89206,                0.09379,                0.33912,                0.27634,                0.13799,                 2.1101,                 4.0768,                  1.911,             0.00033298,             0.00033298,             0.00033298
                     99,                0.51911,                0.44729,                0.90413,                0.09473,                0.34404,                0.28858,                0.14661,                 2.0825,                  4.067,                 1.8935,             0.00031923,             0.00031923,             0.00031923
                    100,                0.49907,                0.43698,                0.86222,                0.09028,                0.32491,                0.26472,                0.14159,                 2.0192,                 4.1146,                 1.8694,             0.00030548,             0.00030548,             0.00030548
                    101,                0.50219,                 0.4438,                0.88096,                0.09072,                0.32526,                0.25558,                0.14057,                 1.9926,                 4.1619,                 1.8343,             0.00029172,             0.00029172,             0.00029172
                    102,                0.48097,                0.40788,                0.86095,                0.09363,                0.33316,                0.24819,                0.13831,                 1.9859,                 4.1691,                  1.812,             0.00027797,             0.00027797,             0.00027797
                    103,                0.49757,                0.45177,                0.85123,                0.09965,                0.35842,                0.28112,                0.13987,                 2.0422,                  4.187,                  1.818,             0.00026422,             0.00026422,             0.00026422
                    104,                0.48147,                0.45427,                0.87261,                0.11253,                0.42105,                0.32385,                0.15425,                  2.052,                 4.1582,                  1.818,             0.00025047,             0.00025047,             0.00025047
                    105,                0.46963,                0.43061,                0.87696,                0.97236,                0.17284,                0.35362,                 0.1809,                 2.0056,                 4.1172,                 1.7874,             0.00023671,             0.00023671,             0.00023671
                    106,                0.50566,                0.44209,                0.87966,                0.99259,                0.16456,                0.38208,                0.20098,                 1.9648,                 4.0604,                 1.7689,             0.00022296,             0.00022296,             0.00022296
                    107,                 0.4771,                0.44042,                 0.8725,                0.99066,                0.16754,                0.39601,                0.20034,                 1.9935,                 4.0384,                 1.7958,             0.00020921,             0.00020921,             0.00020921
                    108,                0.44997,                0.43061,                0.84475,                0.98591,                0.17184,                0.41843,                0.20694,                 1.9953,                 4.0575,                  1.793,             0.00019546,             0.00019546,             0.00019546
                    109,                0.45902,                0.44921,                0.86515,                 0.9936,                0.16352,                0.41428,                0.20681,                 1.9724,                 4.0982,                 1.7745,              0.0001817,              0.0001817,              0.0001817
                    110,                0.44565,                0.40016,                 0.8505,                0.99549,                  0.155,                0.41169,                 0.2078,                  1.966,                 4.1379,                 1.7579,             0.00016795,             0.00016795,             0.00016795
                    111,                 0.4386,                0.40767,                0.79466,                0.76692,                0.29965,                  0.413,                0.21369,                 1.9649,                 4.2626,                 1.7624,              0.0001542,              0.0001542,              0.0001542
                    112,                0.42024,                0.39016,                0.79911,                 0.6058,                 0.3993,                0.53251,                0.28434,                 1.9903,                 4.4412,                 1.7916,             0.00014044,             0.00014044,             0.00014044
                    113,                0.40068,                0.37112,                0.81601,                0.61758,                0.36123,                 0.5187,                0.27709,                  2.012,                 4.4715,                 1.8098,             0.00012669,             0.00012669,             0.00012669
                    114,                0.41666,                0.38432,                0.81101,                0.62129,                 0.3307,                0.50634,                0.27757,                 2.0134,                 4.5004,                 1.8087,             0.00011294,             0.00011294,             0.00011294
                    115,                0.39737,                0.37323,                0.82295,                0.63009,                0.31228,                0.50098,                0.28019,                 1.9997,                 4.5049,                 1.7984,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    116,                0.36919,                0.36533,                0.80035,                0.62496,                0.31632,                0.49994,                0.27913,                 1.9886,                 4.4995,                 1.7899,             8.5434e-05,             8.5434e-05,             8.5434e-05
                    117,                0.38616,                0.39082,                0.81175,                 0.6226,                0.32965,                0.50574,                0.27749,                 1.9958,                 4.5136,                 1.7933,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    118,                0.40019,                0.36228,                0.82428,                0.60228,                0.34351,                0.50269,                0.27125,                 2.0001,                 4.5027,                 1.7979,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    119,                0.36958,                0.35219,                0.80139,                0.60006,                0.34772,                0.50413,                0.27055,                 2.0003,                 4.5494,                 1.8012,             4.4176e-05,             4.4176e-05,             4.4176e-05
                    120,                0.39146,                0.36139,                0.81527,                0.59267,                0.34895,                0.50219,                0.26812,                 2.0097,                  4.597,                 1.8117,             3.0423e-05,             3.0423e-05,             3.0423e-05
